Date,fdate,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-06-01 00:00:00-04:00,2023-06-01,14.109999656677246,15.34000015258789,14.010000228881836,15.170000076293944,75000,0.0,0.0,0.0
2023-06-02 00:00:00-04:00,2023-06-02,15.300000190734863,15.850000381469728,15.300000190734863,15.550000190734863,119200,0.0,0.0,0.0
2023-06-05 00:00:00-04:00,2023-06-05,15.550000190734863,16.030000686645508,14.670000076293944,15.779999732971191,69300,0.0,0.0,0.0
2023-06-06 00:00:00-04:00,2023-06-06,15.770000457763672,15.770000457763672,14.729999542236328,14.989999771118164,93900,0.0,0.0,0.0
2023-06-07 00:00:00-04:00,2023-06-07,14.960000038146973,15.229999542236328,14.845999717712402,14.970000267028809,40800,0.0,0.0,0.0
2023-06-08 00:00:00-04:00,2023-06-08,14.949999809265137,15.140000343322754,14.859999656677246,15.0,30100,0.0,0.0,0.0
2023-06-09 00:00:00-04:00,2023-06-09,15.0,15.210000038146973,14.979999542236328,15.09000015258789,51700,0.0,0.0,0.0
2023-06-12 00:00:00-04:00,2023-06-12,15.220000267028809,15.260000228881836,14.960000038146973,15.18000030517578,49500,0.0,0.0,0.0
2023-06-13 00:00:00-04:00,2023-06-13,14.920000076293944,15.199999809265137,14.880000114440918,14.949999809265137,112900,0.0,0.0,0.0
2023-06-14 00:00:00-04:00,2023-06-14,15.020000457763672,15.020000457763672,14.09000015258789,14.210000038146973,85300,0.0,0.0,0.0
2023-06-15 00:00:00-04:00,2023-06-15,14.3100004196167,14.539999961853027,14.239999771118164,14.31999969482422,65200,0.0,0.0,0.0
2023-06-16 00:00:00-04:00,2023-06-16,14.239999771118164,14.350000381469728,13.380000114440918,13.619999885559082,288000,0.0,0.0,0.0
2023-06-20 00:00:00-04:00,2023-06-20,13.65999984741211,14.130000114440918,13.65999984741211,13.800000190734863,58100,0.0,0.0,0.0
2023-06-21 00:00:00-04:00,2023-06-21,13.670000076293944,13.989999771118164,13.501999855041504,13.739999771118164,74000,0.0,0.0,0.0
2023-06-22 00:00:00-04:00,2023-06-22,13.699999809265137,13.899999618530272,13.56999969482422,13.68000030517578,18400,0.0,0.0,0.0
2023-06-23 00:00:00-04:00,2023-06-23,13.739999771118164,13.739999771118164,13.399999618530272,13.454999923706056,45600,0.0,0.0,0.0
2023-06-26 00:00:00-04:00,2023-06-26,13.460000038146973,13.760000228881836,13.3149995803833,13.529999732971191,41600,0.0,0.0,0.0
2023-06-27 00:00:00-04:00,2023-06-27,13.843000411987305,13.869000434875488,13.449999809265137,13.5,20200,0.0,0.0,0.0
2023-06-28 00:00:00-04:00,2023-06-28,13.369999885559082,13.6899995803833,13.369999885559082,13.600000381469728,43200,0.0,0.0,0.0
