Date,fdate,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-06-01 00:00:00-04:00,2023-06-01,20.290000915527344,20.540000915527344,20.049999237060547,20.530000686645508,6100,0.0,0.0,0.0
2023-06-02 00:00:00-04:00,2023-06-02,20.479999542236328,20.549999237060547,20.149999618530277,20.309999465942383,14300,0.0,0.0,0.0
2023-06-05 00:00:00-04:00,2023-06-05,20.309999465942383,20.57999992370605,20.309999465942383,20.530000686645508,4500,0.0,0.0,0.0
2023-06-06 00:00:00-04:00,2023-06-06,20.5,20.770000457763672,20.5,20.690000534057617,7200,0.0,0.0,0.0
2023-06-07 00:00:00-04:00,2023-06-07,21.0,21.01000022888184,20.709999084472656,20.709999084472656,5400,0.0,0.0,0.0
2023-06-08 00:00:00-04:00,2023-06-08,20.61000061035156,20.812000274658203,20.468000411987305,20.690000534057617,6200,0.0,0.0,0.0
2023-06-09 00:00:00-04:00,2023-06-09,20.920000076293945,20.920000076293945,20.6299991607666,20.739999771118164,1800,0.0,0.0,0.0
2023-06-12 00:00:00-04:00,2023-06-12,20.739999771118164,20.8700008392334,20.6299991607666,20.8700008392334,5000,0.0,0.0,0.0
2023-06-13 00:00:00-04:00,2023-06-13,20.81999969482422,20.850000381469727,20.799999237060547,20.799999237060547,4500,0.0,0.0,0.0
2023-06-14 00:00:00-04:00,2023-06-14,20.65999984741211,20.65999984741211,20.46999931335449,20.649999618530277,1300,0.0,0.0,0.0
2023-06-15 00:00:00-04:00,2023-06-15,20.709999084472656,20.739999771118164,20.43000030517578,20.5,2200,0.0,0.0,0.0
2023-06-16 00:00:00-04:00,2023-06-16,20.61000061035156,20.75,20.36000061035156,20.649999618530277,6700,0.0,0.0,0.0
2023-06-20 00:00:00-04:00,2023-06-20,20.59000015258789,20.799999237060547,20.59000015258789,20.71999931335449,6500,0.0,0.0,0.0
2023-06-21 00:00:00-04:00,2023-06-21,20.850000381469727,20.850000381469727,20.600000381469727,20.850000381469727,4800,0.0,0.0,0.0
2023-06-22 00:00:00-04:00,2023-06-22,20.670000076293945,21.200000762939453,20.655000686645508,20.91399955749512,19700,0.0,0.0,0.0
2023-06-23 00:00:00-04:00,2023-06-23,20.899999618530277,21.0,20.770000457763672,20.809999465942383,5000,0.0,0.0,0.0
2023-06-26 00:00:00-04:00,2023-06-26,20.809999465942383,21.1200008392334,20.79700088500977,20.940000534057617,6400,0.0,0.0,0.0
2023-06-27 00:00:00-04:00,2023-06-27,20.770000457763672,21.13999938964844,20.61000061035156,20.940000534057617,5900,0.0,0.0,0.0
2023-06-28 00:00:00-04:00,2023-06-28,21.32999992370605,21.32999992370605,20.68000030517578,20.850000381469727,7800,0.0,0.0,0.0
2023-06-29 00:00:00-04:00,2023-06-29,21.10300064086914,21.11400032043457,20.8799991607666,20.940000534057617,3700,0.0,0.0,0.0
2023-06-30 00:00:00-04:00,2023-06-30,20.86000061035156,20.90999984741211,20.549999237060547,20.549999237060547,6000,0.0,0.0,0.0
2023-07-03 00:00:00-04:00,2023-07-03,20.59000015258789,21.1299991607666,20.57999992370605,20.899999618530277,3200,0.0,0.0,0.0
2023-07-05 00:00:00-04:00,2023-07-05,20.899999618530277,20.989999771118164,20.76000022888184,20.899999618530277,3300,0.0,0.0,0.0
2023-07-06 00:00:00-04:00,2023-07-06,20.8799991607666,20.90999984741211,20.81999969482422,20.850000381469727,1700,0.0,0.0,0.0
2023-07-07 00:00:00-04:00,2023-07-07,20.850000381469727,20.940000534057617,20.850000381469727,20.8799991607666,1300,0.0,0.0,0.0
2023-07-10 00:00:00-04:00,2023-07-10,20.940000534057617,21.01499938964844,20.799999237060547,20.89800071716309,5200,0.0,0.0,0.0
2023-07-11 00:00:00-04:00,2023-07-11,20.96999931335449,21.15999984741211,20.96999931335449,21.13999938964844,6600,0.0,0.0,0.0
2023-07-12 00:00:00-04:00,2023-07-12,21.13999938964844,21.21500015258789,20.940000534057617,21.21299934387207,5900,0.0,0.0,0.0
2023-07-13 00:00:00-04:00,2023-07-13,21.280000686645508,21.440000534057617,21.239999771118164,21.25,4200,0.0,0.0,0.0
2023-07-14 00:00:00-04:00,2023-07-14,21.040000915527344,21.600000381469727,21.040000915527344,21.299999237060547,3500,0.0,0.0,0.0
2023-07-17 00:00:00-04:00,2023-07-17,21.479999542236328,21.69499969482422,21.06999969482422,21.229999542236328,6400,0.0,0.0,0.0
2023-07-18 00:00:00-04:00,2023-07-18,21.06999969482422,21.38500022888184,21.059999465942383,21.100000381469727,3600,0.0,0.0,0.0
