Date,fdate,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-30 00:00:00-04:00,2023-08-30,5.989999771118164,5.989999771118164,5.929999828338623,5.929999828338623,6900,0.0,0.0
2023-08-31 00:00:00-04:00,2023-08-31,5.909999847412109,5.96999979019165,5.880000114440918,5.920000076293945,16900,0.0,0.0
2023-09-01 00:00:00-04:00,2023-09-01,5.96999979019165,5.96999979019165,5.889999866485596,5.909999847412109,10600,0.0,0.0
2023-09-05 00:00:00-04:00,2023-09-05,5.869999885559082,5.940000057220459,5.869999885559082,5.929999828338623,6200,0.0,0.0
2023-09-06 00:00:00-04:00,2023-09-06,5.980000019073486,5.980000019073486,5.820000171661377,5.880000114440918,11400,0.0,0.0
2023-09-07 00:00:00-04:00,2023-09-07,5.849999904632568,5.860000133514404,5.849999904632568,5.860000133514404,1300,0.0,0.0
2023-09-08 00:00:00-04:00,2023-09-08,5.860000133514404,5.860000133514404,5.800000190734863,5.800000190734863,7300,0.0,0.0
2023-09-11 00:00:00-04:00,2023-09-11,5.769999980926514,5.809999942779541,5.760000228881836,5.809999942779541,3100,0.0,0.0
2023-09-12 00:00:00-04:00,2023-09-12,5.710000038146973,5.760000228881836,5.710000038146973,5.730000019073486,6700,0.0,0.0
2023-09-13 00:00:00-04:00,2023-09-13,5.699999809265137,5.75,5.690000057220459,5.71999979019165,13300,0.0,0.0
2023-09-14 00:00:00-04:00,2023-09-14,5.730000019073486,5.739999771118164,5.679999828338623,5.690000057220459,6400,0.0,0.0
2023-09-15 00:00:00-04:00,2023-09-15,5.710000038146973,5.710000038146973,5.639999866485596,5.670000076293945,6400,0.0,0.0
2023-09-18 00:00:00-04:00,2023-09-18,5.670000076293945,5.699999809265137,5.659999847412109,5.670000076293945,11700,0.0,0.0
2023-09-19 00:00:00-04:00,2023-09-19,5.670000076293945,5.710000038146973,5.650000095367432,5.650000095367432,20700,0.0,0.0
2023-09-20 00:00:00-04:00,2023-09-20,5.690000057220459,5.71999979019165,5.679999828338623,5.679999828338623,1900,0.0,0.0
2023-09-21 00:00:00-04:00,2023-09-21,5.710000038146973,5.710000038146973,5.619999885559082,5.630000114440918,7500,0.0,0.0
2023-09-22 00:00:00-04:00,2023-09-22,5.659999847412109,5.659999847412109,5.550000190734863,5.559999942779541,14800,0.0,0.0
